日期,开始时间,结束时间,出发线路,终到线路,起始站,终到站,客流量
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,13号线,5号线,西二旗,崇文门,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,六道口,大屯路东,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,六道口,奥林匹克公园,9.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,六道口,望京,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,六道口,清华东路西口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,5号线,六道口,东单,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,5号线,六道口,崇文门,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,8号线,六道口,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,8号线,六道口,王府井,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,8号线,六道口,鼓楼大街,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,昌平线,大屯路东,昌平西山口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,昌平线,大屯路东,沙河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,昌平线,大屯路东,西二旗,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,大屯路东,奥林匹克公园,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,大屯路东,清华东路西口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,昌平线,奥林匹克公园,学院桥,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,昌平线,奥林匹克公园,西二旗,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,奥林匹克公园,六道口,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,奥林匹克公园,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,奥林匹克公园,望京,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,奥林匹克公园,清华东路西口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,5号线,奥林匹克公园,惠新西街南口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,10号线,清华东路西口,团结湖,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,清华东路西口,六道口,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,清华东路西口,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,清华东路西口,奥林匹克公园,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,15号线,清华东路西口,望京,11.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,5号线,清华东路西口,东单,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,5号线,清华东路西口,惠新西街南口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,8号线,清华东路西口,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,15号线,8号线,清华东路西口,王府井,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,1-八通线,前门,东单,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,10号线,前门,团结湖,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,10号线,前门,车道沟,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,13号线,前门,西二旗,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,19号线,前门,牡丹园,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,前门,北京站,21.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,前门,崇文门,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,前门,大屯路东,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,前门,天通苑北,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,前门,天通苑,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,昌平线,北京站,昌平西山口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,昌平线,北京站,沙河,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,1-八通线,北京站,果园,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,1-八通线,北京站,王府井,9.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,19号线,北京站,牡丹园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,北京站,北京站,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,北京站,崇文门,11.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,北京站,鼓楼大街,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,4-大兴线,北京站,海淀黄庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,北京站,东单,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,北京站,天通苑北,7.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,5号线,北京站,惠新西街南口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,北京站,北土城,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,北京站,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,北京站,永定门外,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,北京站,王府井,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,10号线,崇文门,团结湖,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,13号线,崇文门,西二旗,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,崇文门,北京站,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,崇文门,崇文门,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,2号线,崇文门,鼓楼大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,4-大兴线,崇文门,海淀黄庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,崇文门,回龙观东大街,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,2号线,8号线,崇文门,珠市口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,东单,东单,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,东单,大屯路东,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,东单,天通苑北,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,东单,崇文门,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,7号线,东单,珠市口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,1-八通线,大屯路东,果园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,大屯路东,海淀黄庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,大屯路东,车道沟,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,2号线,大屯路东,北京站,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,大屯路东,东单,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,大屯路东,天通苑北,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,大屯路东,天通苑,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,大屯路东,崇文门,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,大屯路东,惠新西街南口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,昌平线,天通苑,沙河,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,北土城,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,十里河,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,团结湖,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,海淀黄庄,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,牡丹园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,天通苑,车道沟,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,14号线,天通苑,永定门外,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,天通苑,六道口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,天通苑,奥林匹克公园,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,天通苑,望京,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,天通苑,清华东路西口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,天通苑,大屯路东,7.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,天通苑,天通苑北,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,天通苑,天通苑,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,天通苑,崇文门,
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,天通苑,惠新西街南口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,8号线,天通苑,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,1-八通线,崇文门,王府井,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,崇文门,北土城,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,崇文门,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,13号线,崇文门,西二旗,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,崇文门,东单,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,崇文门,大屯路东,7.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,崇文门,天通苑,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,崇文门,崇文门,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,崇文门,惠新西街南口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,惠新西街南口,望京,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,2号线,惠新西街南口,北京站,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,惠新西街南口,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,惠新西街南口,天通苑北,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,惠新西街南口,天通苑,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,惠新西街南口,崇文门,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,惠新西街南口,惠新西街南口,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,1-八通线,立水桥,果园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,1-八通线,立水桥,王府井,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,立水桥,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,立水桥,团结湖,7.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,10号线,立水桥,海淀黄庄,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,立水桥,六道口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,立水桥,奥林匹克公园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,15号线,立水桥,望京,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,2号线,立水桥,北京站,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,2号线,立水桥,鼓楼大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,立水桥,东单,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,立水桥,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,立水桥,天通苑北,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,立水桥,天通苑,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,5号线,5号线,立水桥,惠新西街南口,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,6号线,昌平线,南锣鼓巷,昌平西山口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,6号线,10号线,南锣鼓巷,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,6号线,10号线,南锣鼓巷,团结湖,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,6号线,5号线,南锣鼓巷,天通苑,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,昌平线,北京西站,沙河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,1-八通线,北京西站,果园,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,10号线,北京西站,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,10号线,北京西站,团结湖,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,14号线,北京西站,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,14号线,北京西站,望京,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,2号线,北京西站,北京站,22.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,东单,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,天通苑北,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,天通苑,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,崇文门,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,5号线,北京西站,惠新西街南口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,7号线,北京西站,环球度假区,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,7号线,北京西站,珠市口,32.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,回龙观东大街,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,奥林匹克公园,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,永定门外,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,永泰庄,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,王府井,7.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,8号线,北京西站,鼓楼大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,7号线,7号线,环球度假区,环球度假区,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,中国美术馆,学院桥,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,1-八通线,中国美术馆,果园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,中国美术馆,清华东路西口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,2号线,中国美术馆,北京站,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,奥林匹克公园,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,永定门外,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,永泰庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,王府井,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,中国美术馆,珠市口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,什刹海,学知园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,什刹海,沙河,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,1-八通线,什刹海,果园,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,什刹海,农业展览馆,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,什刹海,惠新西街南口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,什刹海,六道口,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,什刹海,望京,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,什刹海,清华东路西口,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,2号线,什刹海,北京站,
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,4-大兴线,什刹海,海淀黄庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,5号线,什刹海,天通苑北,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,5号线,什刹海,天通苑,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,北土城,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,回龙观东大街,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,奥林匹克公园,12.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,永泰庄,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,王府井,29.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,什刹海,珠市口,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,前门,学知园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,前门,牡丹园,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,14号线,前门,十里河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,前门,望京,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,5号线,前门,天通苑北,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,回龙观东大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,奥林匹克公园,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,永定门外,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,永泰庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,王府井,28.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,前门,鼓楼大街,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,北土城,奥林匹克公园,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,北土城,永泰庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,北土城,王府井,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,北土城,珠市口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,南锣鼓巷,沙河,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,14号线,南锣鼓巷,十里河,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,南锣鼓巷,六道口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,南锣鼓巷,大屯路东,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,南锣鼓巷,望京,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,南锣鼓巷,清华东路西口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,2号线,南锣鼓巷,北京站,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,5号线,南锣鼓巷,天通苑,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,北土城,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,奥林匹克公园,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,永定门外,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,永泰庄,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,王府井,19.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,珠市口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,南锣鼓巷,鼓楼大街,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,亦庄线,奥林匹克公园,小红门,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,奥林匹克公园,农业展览馆,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,奥林匹克公园,团结湖,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,奥林匹克公园,惠新西街南口,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,奥林匹克公园,海淀黄庄,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,5号线,奥林匹克公园,东单,
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,北土城,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,回龙观东大街,10.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,奥林匹克公园,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,永定门外,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,永泰庄,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,王府井,
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,奥林匹克公园,鼓楼大街,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,永定门外,牡丹园,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,永定门外,北土城,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,永定门外,永定门外,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,永定门外,王府井,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,永定门外,珠市口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,永定门外,鼓楼大街,2.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,亦庄线,王府井,小红门,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,昌平线,王府井,沙河,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,王府井,牡丹园,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,13号线,王府井,西二旗,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,14号线,王府井,十里河,4.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,王府井,六道口,3.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,15号线,王府井,清华东路西口,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,2号线,王府井,北京站,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,回龙观东大街,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,奥林匹克公园,8.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,永定门外,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,永泰庄,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,王府井,1.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,珠市口,12.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,8号线,王府井,鼓楼大街,6.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,金鱼胡同,团结湖,5.0
2023/5/20,2023/5/20 14:15:00,2023/5/20 14:30:00,8号线,10号线,金鱼胡同,惠新西街南口,
